comment_id,video_id,username,comment,like_count,published_at
Ugw6M7F3-E-JPh4dKJB4AaABAg,-3wo8cLilUk,@keumerces,"📌Aprenda a fazer Velas Aromáticas Comigo e Construa um negócio de sucesso em casa ↩️ <a href=""https://keumerces.com/"">https://keumerces.com/</a>",1,2024-10-02T02:52:51Z
UgxzVfE3S7yb0Z9qLPV4AaABAg,-3wo8cLilUk,@affb-r1v,Eii! O fato de o pote ser com o bico mais fino n corre o risco de estourar? Tenho medo de fazer vela por medo do pote estourar,0,2024-11-06T14:45:07Z
UgxPuVI3-fdkFrDDuQh4AaABAg,-3wo8cLilUk,@DirceSantos-p8m,Gostaria de saber se as flores são de tecido?<br>E como vc cola as flores 😮,0,2024-11-02T23:27:06Z
Ugzh1z02rt06saB-VZB4AaABAg,-3wo8cLilUk,@horadamari1679,Oq vc espirrou no vidro pra segurar as flores ???,0,2024-10-20T23:07:28Z
UgwXwxxD25t0uxuIR0V4AaABAg,-3wo8cLilUk,@fernandamarquesscm6855,Como se chama esse negocinho que segura o pavio???,0,2024-10-18T00:22:38Z
UgwdcSvtraZBBjAyKZt4AaABAg,-3wo8cLilUk,@cassiavicente6438,Você faz mais o que colocar para bota as flores,0,2024-10-13T15:40:24Z
Ugw52XbqjyR4HB2bUU94AaABAg,-3wo8cLilUk,@prisciladamaceno8013,Oie tudo bem ? Da onde são as florzinhas,0,2024-10-04T23:07:58Z
UgwGoydP3U2gie-x-e14AaABAg,-3wo8cLilUk,@larihh2023,Ensina como faz??,0,2024-09-09T04:51:39Z
UgwMfLkw87Ki1SIwvKt4AaABAg,-3wo8cLilUk,@ya-yayato-san5892,Pode queimar com decoração de plástico a vela ou tem problema?,0,2024-09-06T23:40:00Z
UgyDcZqmOVX1rrUVUTZ4AaABAg,-3wo8cLilUk,@alessandramisty2977,"Se as pessoas lesem os comentários,  não teria 500 mil perguntas sobre a mesma coisa…",0,2024-08-02T04:17:03Z
UgwbDgzJhdP0tV4Hv-F4AaABAg,-3wo8cLilUk,@EguinaldoFreitas-y1x,O que vc barrufou pra grudar as flores no vidro,2,2024-07-15T15:47:35Z
Ugylghv69EN56QdEs_94AaABAg,-3wo8cLilUk,@celestegabriele4863,Que líquido é esse que vc ponhe pra colocar as flores?,0,2024-07-12T19:45:41Z
UgynDRT-h7rOWpnvXMp4AaABAg,-3wo8cLilUk,@sandraserws2666,Qual cera vc usou? Em gel ou de coco?,0,2024-06-30T16:10:33Z
UgzDtl-owWdhSCcIiWx4AaABAg,-3wo8cLilUk,@ligiasoriano9991,O que você usou no borrifador para grudar as flores? E você usou parafina ou cera? Como você fez?,0,2024-06-02T22:44:17Z
UgwH-EU0Oq1fEVBW8rV4AaABAg,-3wo8cLilUk,@marinaalmeida6758,Pode colocar perfume ou so essência?,0,2024-05-13T20:02:18Z
UgwPfbhhJpPtruyqg7t4AaABAg,-3wo8cLilUk,@JogosLu,Esse líquido que vc borrifa é oque?,1,2024-05-12T13:44:05Z
UgxRmQql2-c61V7-TAd4AaABAg,-3wo8cLilUk,@catherineversiani7866,Minhas velas estão afundando no meio depois que esfria. O que pode ser?,0,2024-05-09T00:39:56Z
UgwV-44LdweTK5sQQRN4AaABAg,-3wo8cLilUk,@carolinagraziely3122,"Olá, gostaria de saber o que vc usar para fixar as florzinhas?",0,2024-04-08T17:49:48Z
