comment,emotion,polarity
"📌Aprenda a fazer Velas Aromáticas Comigo e Construa um negócio de sucesso em casa ↩️ <a href=""https://keumerces.com/"">https://keumerces.com/</a>",neutral,positivo
Eii! O fato de o pote ser com o bico mais fino n corre o risco de estourar? Tenho medo de fazer vela por medo do pote estourar,neutral,negativo
Gostaria de saber se as flores são de tecido?<br>E como vc cola as flores 😮,neutral,negativo
Oq vc espirrou no vidro pra segurar as flores ???,neutral,negativo
Como se chama esse negocinho que segura o pavio???,neutral,negativo
Você faz mais o que colocar para bota as flores,neutral,positivo
Oie tudo bem ? Da onde são as florzinhas,neutral,negativo
Ensina como faz??,surprise,neutro
Pode queimar com decoração de plástico a vela ou tem problema?,neutral,negativo
"Se as pessoas lesem os comentários,  não teria 500 mil perguntas sobre a mesma coisa…",neutral,negativo
O que vc barrufou pra grudar as flores no vidro,anger,negativo
Que líquido é esse que vc ponhe pra colocar as flores?,neutral,negativo
Qual cera vc usou? Em gel ou de coco?,neutral,negativo
O que você usou no borrifador para grudar as flores? E você usou parafina ou cera? Como você fez?,neutral,negativo
Pode colocar perfume ou so essência?,neutral,neutro
Esse líquido que vc borrifa é oque?,neutral,negativo
Minhas velas estão afundando no meio depois que esfria. O que pode ser?,neutral,negativo
"Olá, gostaria de saber o que vc usar para fixar as florzinhas?",neutral,negativo
Onde comprar o pote de vidro?,neutral,negativo
"Ola, que material sap essas florzinhas?",neutral,negativo
Você usa que tipo de cera? Amei essa vela ❤,neutral,negativo
"Olá,por favor gostaria de saber se envaso com a parafina ainda quente.... Gratidão",neutral,neutro
Que lindo! Gostaria de saber que produto é esse que você borrifa😊,neutral,positivo
Oi. Gostaria de saber de o de é o pote?,neutral,negativo
O que vc passou antes de colocar as flores?,neutral,negativo
Em que momento acrescento a essência?,neutral,neutro
Adorei....vou comprar o kit e fazer ❤❤,neutral,positivo
O que usa pra colar as flores?,neutral,neutro
Achei linda será q da pra vender? E qual seria o valor,neutral,negativo
Que lindooo!! Como você colou as florzinhas? ❤,neutral,negativo
aonde compro as flores,neutral,positivo
"Tá, não vai falar qual? e que  hora coloca o aroma?",neutral,negativo
"Que pessoa linda e sensível que é Vc! Responde a todas as perguntas , apesar de ter pessoas perguntando a  msm coisa.",anger,positivo
Jogou só parafina dentro?,neutral,negativo
"&quot;Seu vídeo é como velas, ilumina e encanta. Siga minha conta para mais brilho!&quot; Lembre-se, o limite é o céu! 🌟",joy,positivo
Gostaria de aprender fazer velas aromaticas,neutral,neutro
A vela não queima as flores não?,neutral,negativo
"N disse com que colou as florzinha,.",neutral,negativo
Pra parafina ficar branca basta derretê ela sem nada só derreter que ela fica branco ?? É necessário xis de cera branco ??,neutral,negativo
"Eii, achei muito prático o vídeo! Essa cola eu consigo fixar glitter também? Quando a vela derrete não fica com cheiro estranho?",neutral,positivo
o que você espirrou para grudar as flores???😍😍,anger,negativo
O copo de vidro nao quebra? Nao,neutral,negativo
"oiii, sou nova aqui, gostaria de saber se qdo for queimando se não fica com cheiro ruim? Achei lindaaaaaaaaaaa.",neutral,negativo
Que lindo 😍 queria fazer para aniversário da minha dar de lembrança,neutral,positivo
São Vela Derretidas O Líquido?,neutral,negativo
Por favor queria saber o que você espirrou dentro para segurar as flores por gentileza.,neutral,negativo
Podia ensina 😢 essas flores são artificiais que material e?,neutral,negativo
O que é esse líquido no borrifador? Muito linda ❤,neutral,negativo
essas flores são de que material?,neutral,negativo
Tem algum vídeo completo ensinando todo o processo?,neutral,neutro
Amei ! Sou nova no canal. Poderia me informar onde comprou essas flores? Na shopee eu encontro? É algum modelo diferente? Pergunto porque fico com medo delas pegarem fogo conforme a vela for derretendo rs obrigada desde já . Abraços,neutral,negativo
O que tinha no borrifador? Cola?,neutral,negativo
Lindooooo 😍<br>Com o que você colou as flores na lateral no vidro?,neutral,negativo
Lindo  trabalho ! Essas florzinhas são artificial ou natural?,neutral,positivo
Mulher talentosa! Ficou linda!!🎉🎉❤,neutral,positivo
Ficou lindaa Kêu! Amei demais! 😍🤩,joy,negativo
Lindo trabalho keu... parabens!,joy,positivo
Vou fazer nos meus potinhos aqui 😍😍😍,neutral,positivo
Fofinho ❤️❤️,neutral,positivo
Quanto tempo dura?,neutral,neutro
Mas o potinho de vidro não quebra?,neutral,neutro
Muito obrigada graças a você eu conseguir recuperar minha vela que quebrou no vidro ❤e agora posso usar ela 🎉,joy,positivo
O vidro nao racha?,neutral,negativo
Amei qual essência,neutral,neutro
Esse Kkk é muito imbecil !  Sem graça.,joy,positivo
Pode colocar perfume?Mas é perfume que a gente usa no dia a dia &quot;),neutral,positivo
Quebrou aí eu queria consertar ela mas ela normalzinha sabe ali eu queria consertar ela eu moro em Rodeiro na rua do clube o número da casa é 406,anger,negativo
Pode colocar na forma de silicone?,neutral,neutro
Não queima o potinho?,neutral,negativo
Um pacote de vela da pra faz quantas?,neutral,negativo
Simples assim?  Serão mesmo?,neutral,neutro
Vou fazer estou desempregada aonde posso comprar a essência?,neutral,negativo
Aaaaaaah mds <br>Eu tava louca pra fazer velas decorativas e vender <br>E vc me ajudou com esse video ❤<br>Obrigada,joy,neutro
Quantas velas para cada potinho,neutral,neutro
E qual o momento de colocar essencia? Tem algum material que não pode? Pode usar perfume?,neutral,negativo
Tudo é bom mas parem com êsse ridículo kkk!,fear,negativo
Amei  muito obrigada,neutral,positivo
Tenho medo de pegar fogo kkk,neutral,negativo
1 pacote de vela rende quantos copinhos para vela aromatizada???,neutral,negativo
Pq ngm fala q a vela derretida parece óleo quente? Quase morro jogando a essência de baunilha dentro,fear,negativo
Dá p recuperar o copo depois?,neutral,negativo
Perfeito 👏👏🏻👏👏🏻 fácil e prático,anger,positivo
Coloca quanto de essência mais ou menos?,neutral,neutro
Gostei de ficar muito bom e xeroso usando um pote de vido de perfume👏😃,neutral,positivo
"Parafina é feito de petróleo, portanto é tóxica. Além de a essência nao exalar quase nada pq precisa de oleosidade e a parafina nao tem.",neutral,negativo
Da pra colorir com giz de cera,neutral,neutro
"Adorei, onde você comprou esse potes?",neutral,positivo
"Oi, quanto tempo para esfriar?",neutral,negativo
Eu consigo tirar depois?,neutral,negativo
Da pra tirar do potinho sem danificar ?,neutral,negativo
No vidro não  quebra?,neutral,negativo
"Tenho muitas, até flutuantes 🥰 pode colocar giz de cera da cor que quiser também.",neutral,negativo
Pode colocar corante?,neutral,neutro
"Por favor, quanto tempo para esfriar ?",neutral,negativo
"Achei fácil ,em outro vídeo é colocado uma lata dentro da panela ou uma panela velha , esse vídeo achei mais fácil tem que esperar amornar pra colocar no potinho?",anger,neutro
"Fiz❤ coloquei em um potinho de vidro de sombremesa mesmo,pq não tinha outro.",neutral,negativo
Como tirar do potinho? E tem como colocar uma imagem?,neutral,negativo
"Vou testar, se funcionar volto aqui e comento.<br>03/06/2023",neutral,negativo
derrete a vela com oq? 🤡 aquilo é água? kkk,fear,negativo
"Amei, sem enrolação e principalmente sem dizer que precisa comprar 500 itens de não sei o que. Já vou fazer a minha",neutral,negativo
"Amei você explica sem demora sem ficar enrolando, mas vendo em outro video foi usado giz de cera para tingir, gostaria de saber se tem oitra maneira de tingir a vela, então se eu usar anilina comestível daria certo  ?",neutral,negativo
Os vidros não explodem ?,neutral,negativo
onde vc comprou esses vidro amiga,neutral,negativo
Vendo como faz na madrugada. Super fácil. Obrigada ❤,anger,positivo
"Minha nossa onde tem essa loja de 1,99 pra eu comprar estou precisando de copinhos e aqui onde moro é no mínimo 4,7⁹$ 🥺🥺🥺🥺",neutral,negativo
Nossa pq não avisou que sujava e tudo e a vela não sai da panela,neutral,negativo
Essas velas é duradoura?,neutral,negativo
A panela fica manchada depois?,neutral,negativo
Amei ficou lindo,neutral,neutro
Fiz um vídeo assim no Instagram e quase me mataram. Tô sem entender até agora. Velas decorativas feitas de outras velas.,neutral,negativo
Você só colou elas na panela sem nada? Ou colocou alguma coisa antes pra não grudar?,disgust,negativo
Importante é nao ter álcool pois perigoso esplosão,disgust,neutro
Alguem em 2024? Gostei. Outros videos dizem q tem q medir a temperatura da parafina derretida 🤔,neutral,negativo
"Meu pavio  esta apagando, porque?😢",neutral,negativo
"E pode deixar ela aonde pra ela poder endurecer,a gente deixa na geladeira?",neutral,negativo
A minha vela está fazendo um buraco em volta do pavio. Porque será?,neutral,negativo
Olá pessoal  tudo bem gostaria de saber se dar pra far como lembrancinhas de casamento?<br>Estou pretendendo fazer.<br>Como faz pra deixar colorida,neutral,positivo
"Obrigada por ser direta ao ponto. <br>Tem 2 anos esse vídeo aqui, mas ainda atende quem pesquisa sobre.<br>Amo vídeo assim: OBJETIVO !<br><br>Continue nesse ritmo. <br>Sucesso !",fear,positivo
