video_id,video_title,video_description,published_at,view_count,like_count,comment_count
-3wo8cLilUk,COMO FAZER VELAS AROMÁTICAS fácil e rápido #shorts #façavocêmesmo #decoração,"Como fazer sua própria vela aromática. 
Aprenda fazer velas perfumadas reaproveitando vidros de conserva de um jeito bem fácil e rápido. Esse é um DIY bem fácil de fazer para ganhar dinheiro. 

#façavocêmesmo #velasaromaticas #velasartesanais",2023-01-04T23:00:00Z,164276,8746,168
Lk9orm56SUU,DIY- Faça você VELAS  decorativas FÁCIL e barato✨,"#velasaromaticas #velasdecorativas #diy #diycrafts #diycraft #velaspersonalizadas #façavocêmesmo #facavocemesmo


Como fazer velas
Faça você mesmo velas 
Vela decorativa",2022-08-24T22:33:25Z,232891,15524,114
xWOAQsnAQE0,COMO FAZER VELAS AROMÁTICAS💕 VELAS PERFUMADAS.,,2021-10-08T20:03:57Z,272869,10335,307
dR5YqbjP4So,Velas Aromáticas #comofazervelas #velaspersonalizadas #velasaromaticas #velasdecorativas #velas,,2024-10-01T22:36:24Z,19977,1559,72
mhI7Lj0rMQY,COMO FAZER VELAS AROMÁTICAS✨10 Passos Simples para Fazer Vela Aromatizada.,"As velas Aromatizadas ficam lindas na decoração e também são ótimas opções de lembranças de casamento e batizado. Então peguei essa inspiração e listei o passo a passo de como fazer uma linda vela aromática para deixar sua casa mais charmosa.
#comofazervelasaromaticas #velas 
#velasaromaticas #velasaromatizadas
#comofazervelas

Se você gostou do vídeo deixe seu LIKE que ajuda muito no crescimento do canal e assim eu trago mais ideias como essa.

Email Comercial: keu_merces@hotmail.com
Me siga nas redes sociais 🤎
📌INSTAGRAM 
https://instagram.com/keumerces 
📌MEU OUTRO CANAL  
https://youtube.com/@keumerces.

SOBRE O CANAL:
Se você gosta de ideias criativas com RECICLAGEM, ARTESANATO e DECORAÇÃO esse canal é para você! Meu maior objetivo é estimular você a aprender e colocar a mão na massa, com soluções econômicas para você organizar e decorar sua casa. Aqui você vai encontar dicas, DIY  faça você mesmo, reciclagem criativa,  e muita transformação de materiais que iriam para o lixo. Também ajudo noivas que querem casar gastando pouco a fazerem escolhas inteligentes com dicas criativas de CASAMENTO DIY ensino como fazer bolo fake, convites, lembrancinhas, arranjos, centro de mesa, tudo que envolve a decoração para que você tenha uma festa linda e organizada. Tudo aqui é feito com muito amor e um pouco de humor para alegrar a vida de vocês. Meus vídeos vão ao ar toda terça e sexta, pontualmente às 17h. Sejam bem vindos#vela",2024-06-27T20:00:15Z,36220,1963,28
-A76x9pRVGI,Passo a passo da nossa produção de velas #velasaromaticas #artesanato #velasdecorativas,,2023-05-24T16:00:01Z,100094,5176,33
yvLTsFdb_iM,O jeito mais fácil de fazer uma Vela Perfumada e Econômica! 😍🕯Deixa seu like se gostou da dica ❤️,"Materiais:
100g de parafina de soja
100g de gordura vegetal
20ml de essência


Materiais você encontra na minha loja https://www.darlene.com.br/toda-a-loja/artigos-para-velas/",2022-10-07T20:52:33Z,121468,7319,96
37uR1tcRiD0,Como fazer Velas Aromáticas | Aprenda hoje!,"Assista minha aula completa: https://youtu.be/rQH5jkzPQtU?si=cv3LrC7DKZnZ8-ih

Bem-vindo ao canal da Ohana! 
Conheça a nossa loja: https://www.ohanaateliedecor.com
Siga no instagram: https://www.instagram.com/ohana_ateliedecor/

Links de compra dos itens citados no vídeo:
Cera Vegetal: https://shope.ee/1ArBXzFg3i
Termômetro digital: https://shope.ee/4AUn8fjm3X
Cortador de Pavio: https://shope.ee/2fiPH8QTVw
Pote Patê: https://shope.ee/6Uv7qehkgu
Balança: https://shope.ee/40DmsBfigH
Caneca Esmaltada: https://shope.ee/5zyrFvIsWf
Soprador térmico: https://shope.ee/4pmtrqdiPk
cooktop elétrico: https://shope.ee/6fEY3Kyhr9
Pavio: https://www.thomsen.com.br/produto/pavio-parafinado-jumbo-va-60-sem-fio-de-cobre.html
Essência: https://www.lojapeterpaiva.com.br/produto/essencia-velas-canela-spicy-100g/3295419

Ganhe desconto para fazer suas etiquetas!!! Use nosso cupom: CIN553913OP
Site para compra das etiquetas: https://www.printi.com.br

Crie sua loja virtual e ganhe desconto no link: https://www.nuvemshop.com.br/partners/ohana-atelidecor

Neste vídeo, vou te mostrar como criar uma vela aromática incrível, desde os materiais básicos até as dicas de temperaturas e escolha de essências. É a oportunidade perfeita para se aventurar no mundo das velas caseiras e deixar sua casa ainda mais aconchegante.

🎥 O Que Você Vai Aprender Neste Vídeo:
- O passo a passo detalhado dos itens necessários
- Dicas sobre as temperaturas ideais para garantir uma vela perfeita.
- Fornecedores e melhores essências e ceras

🌟 Fazer velas artesanais é uma atividade incrível para liberar sua criatividade e produzir presentes personalizados. Além disso, as velas aromáticas criam uma atmosfera relaxante em qualquer ambiente.

🔗 Se você está interessado em criar suas próprias velas aromáticas, inscreva-se no canal e ative as notificações para receber mais dicas, tutoriais e inspirações sobre velas artesanais.

📣 Compartilhe este vídeo com seus amigos que também adoram atividades DIY e decoração única com velas!

#VelasArtesanais #VelasAromáticas #DIYVelas #PassoaPasso #DecoraçãoComVelas",2023-08-26T01:49:33Z,18204,1688,48
ErMnXB0b_1Y,Velas Rose Garden - Peter Paiva,"Pra vocês apaixonados por velas, fiz esse vídeo pra te ensinar fazer uma vela luminária super linda e simples de fazer! Artesanal, toda cheia de charme e com refil assim fica também econômica! Bora aprender? Curte aí e depois comenta o que achou!

Material:
250 gramas de Parafina de Soja Lentilhada
250 gramas de Gordura Vegetal
50 ml de Essência 
Flores Artesanais 

Material de apoio:
Panela esmaltada
Hashi
Copos

Acesse o site:  https://www.peterpaiva.com.br 
Todos os produtos que você precisa estão em:  https://www.lojapeterpaiva.com.br

Siga-me nas redes sociais!
https://www.instagram.com/peterpaiva/
https://www.facebook.com/oficialpeterpaiva
https://br.pinterest.com/peterpaiva/",2020-06-18T12:26:45Z,377860,35310,1513
2ut2qwSRZgM,Vela com flores secas | Decore com velas,"🌟 Conheça o meu curso: https://jornadadosaromas.com.br/

Me siga no instagram: https://www.instagram.com/jornadadosaromas




#cursovela #comofazervela #velaceradecoco #velagel",2023-08-26T22:05:04Z,114716,9325,147
